_______________________________________
IBUTTON DATA DOWNLOAD
_______________________________________
Alphamach Inc.
101-2205 Bombardier, Ste-Julie, Qc J3E 2J9 CANADA
Tel: 450-466-3153
email: info@alphamach.com
www.alphamach.com


iButton Info
-----------------------------------------------------
iButton S/N:     3B0000005ABE2341
iButton Type:    DS1923
WeeButton Rev:   V12 R068


Mission Info
-----------------------------------------------------
Mission Init Date:                05-11-2019 10:50:01
Mission Start-up:                 05-11-2019 10:50:01
Download Date/Time:               05-11-2019 14:12:50
Temp. Sample Rate:                15
Hum. Sample Rate:                 15

Mission Running:                  False
Override Enable:                  False
Override Occurred:                False
Logs of present mission:           808
Log count:              47073

----------------- Data Download -------------------

Date                     Temp. (TEMP_CELSIUS)         Hum (%) 
05-11-2019 10:50:01         31,815                 29,456
05-11-2019 10:50:16         31,441                 29,289
05-11-2019 10:50:31         31,129                 28,954
05-11-2019 10:50:46         30,817                 28,954
05-11-2019 10:51:01         30,567                 28,954
05-11-2019 10:51:16         30,380                 29,121
05-11-2019 10:51:31         30,193                 29,624
05-11-2019 10:51:46         30,068                 29,289
05-11-2019 10:52:01         29,880                 29,791
05-11-2019 10:52:16         29,756                 29,791
05-11-2019 10:52:31         29,693                 29,791
05-11-2019 10:52:46         29,631                 29,958
05-11-2019 10:53:01         29,568                 29,624
05-11-2019 10:53:16         29,506                 30,125
05-11-2019 10:53:31         29,506                 29,791
05-11-2019 10:53:46         29,443                 29,958
05-11-2019 10:54:01         29,443                 29,624
05-11-2019 10:54:16         29,381                 30,125
05-11-2019 10:54:31         29,381                 30,125
05-11-2019 10:54:46         29,381                 30,125
05-11-2019 10:55:01         29,319                 30,125
05-11-2019 10:55:16         29,319                 29,958
05-11-2019 10:55:31         29,381                 29,791
05-11-2019 10:55:46         29,381                 29,791
05-11-2019 10:56:01         29,381                 30,459
05-11-2019 10:56:16         29,381                 30,459
05-11-2019 10:56:31         29,319                 30,125
05-11-2019 10:56:46         29,319                 30,125
05-11-2019 10:57:01         29,319                 29,958
05-11-2019 10:57:16         29,319                 29,958
05-11-2019 10:57:31         29,256                 29,958
05-11-2019 10:57:46         29,256                 30,125
05-11-2019 10:58:01         29,256                 30,626
05-11-2019 10:58:16         29,256                 30,292
05-11-2019 10:58:31         29,256                 30,292
05-11-2019 10:58:46         29,256                 30,292
05-11-2019 10:59:01         29,256                 29,958
05-11-2019 10:59:16         29,256                 30,626
05-11-2019 10:59:31         29,256                 29,791
05-11-2019 10:59:46         29,256                 30,292
05-11-2019 11:00:01         29,256                 29,958
05-11-2019 11:00:16         29,256                 29,791
05-11-2019 11:00:31         29,256                 30,292
05-11-2019 11:00:46         29,194                 29,958
05-11-2019 11:01:01         29,194                 29,791
05-11-2019 11:01:16         29,194                 30,292
05-11-2019 11:01:31         29,194                 29,791
05-11-2019 11:01:46         29,194                 29,958
