_______________________________________
IBUTTON DATA DOWNLOAD
_______________________________________
Alphamach Inc.
101-2205 Bombardier, Ste-Julie, Qc J3E 2J9 CANADA
Tel: 450-466-3153
email: info@alphamach.com
www.alphamach.com


iButton Info
-----------------------------------------------------
iButton S/N:     6B0000005AC6B541
iButton Type:    DS1923
WeeButton Rev:   V12 R068


Mission Info
-----------------------------------------------------
Mission Init Date:                05-11-2019 10:53:01
Mission Start-up:                 05-11-2019 10:53:01
Download Date/Time:               05-11-2019 13:19:59
Temp. Sample Rate:                15
Hum. Sample Rate:                 15

Mission Running:                  False
Override Enable:                  False
Override Occurred:                False
Logs of present mission:           598
Log count:              37872

----------------- Data Download -------------------

Date                     Temp. (TEMP_CELSIUS)         Hum (%) 
05-11-2019 10:53:01         30,747                 26,810
05-11-2019 10:53:16         30,560                 27,314
05-11-2019 10:53:31         30,373                 27,985
05-11-2019 10:53:46         30,248                 27,650
05-11-2019 10:54:01         30,248                 27,482
05-11-2019 10:54:16         30,123                 27,482
05-11-2019 10:54:31         30,060                 28,486
05-11-2019 10:54:46         30,060                 27,817
05-11-2019 10:55:01         30,060                 27,482
05-11-2019 10:55:16         30,060                 27,650
05-11-2019 10:55:31         30,060                 28,152
05-11-2019 10:55:46         30,060                 27,985
05-11-2019 10:56:01         30,060                 27,985
05-11-2019 10:56:16         30,060                 27,650
05-11-2019 10:56:31         30,060                 27,314
05-11-2019 10:56:46         30,060                 27,314
05-11-2019 10:57:01         30,060                 27,650
05-11-2019 10:57:16         30,060                 27,314
05-11-2019 10:57:31         30,060                 27,985
05-11-2019 10:57:46         30,060                 27,314
05-11-2019 10:58:01         30,185                 27,650
05-11-2019 10:58:16         30,185                 27,985
05-11-2019 10:58:31         30,185                 27,482
05-11-2019 10:58:46         30,123                 28,152
05-11-2019 10:59:01         30,185                 28,486
05-11-2019 10:59:16         30,185                 28,820
05-11-2019 10:59:31         30,185                 28,152
05-11-2019 10:59:46         30,123                 27,985
05-11-2019 11:00:01         30,123                 27,985
05-11-2019 11:00:16         30,123                 27,650
05-11-2019 11:00:31         30,123                 28,653
05-11-2019 11:00:46         30,123                 27,817
05-11-2019 11:01:01         30,123                 28,152
05-11-2019 11:01:16         30,123                 27,817
05-11-2019 11:01:31         30,123                 27,650
05-11-2019 11:01:46         30,123                 27,985
05-11-2019 11:02:01         30,123                 28,820
05-11-2019 11:02:16         30,123                 27,650
05-11-2019 11:02:31         30,123                 28,152
05-11-2019 11:02:46         30,123                 27,482
05-11-2019 11:03:01         30,123                 27,985
05-11-2019 11:03:16         30,123                 27,650
05-11-2019 11:03:31         30,123                 28,319
05-11-2019 11:03:46         30,123                 27,817
05-11-2019 11:04:01         30,060                 27,482
05-11-2019 11:04:16         30,060                 27,650
05-11-2019 11:04:31         30,060                 27,817
05-11-2019 11:04:46         29,998                 27,817
05-11-2019 11:05:01         29,998                 27,817
05-11-2019 11:05:16         30,060                 27,650
05-11-2019 11:05:31         30,060                 27,650
05-11-2019 11:05:46         30,060                 27,482
05-11-2019 11:06:01         30,060                 27,650
05-11-2019 11:06:16         30,060                 27,482
05-11-2019 11:06:31         30,060                 32,302
05-11-2019 11:06:46         30,747                 35,088
05-11-2019 11:07:01         30,935                 33,289
05-11-2019 11:07:16         30,810                 30,152
05-11-2019 11:07:31         30,685                 29,654
05-11-2019 11:07:46         30,622                 30,152
05-11-2019 11:08:01         30,497                 30,484
05-11-2019 11:08:16         30,435                 31,643
05-11-2019 11:08:31         30,373                 31,808
05-11-2019 11:08:46         30,310                 31,808
05-11-2019 11:09:01         30,497                 35,251
05-11-2019 11:09:16         31,059                 38,650
05-11-2019 11:09:31         31,184                 34,109
05-11-2019 11:09:46         31,122                 33,289
05-11-2019 11:10:01         31,059                 32,796
05-11-2019 11:10:16         30,935                 33,453
05-11-2019 11:10:31         30,872                 32,632
05-11-2019 11:10:46         30,810                 32,302
05-11-2019 11:11:01         30,747                 32,961
05-11-2019 11:11:16         30,685                 34,109
05-11-2019 11:11:31         31,247                 38,167
05-11-2019 11:11:46         31,434                 34,272
05-11-2019 11:12:01         31,247                 33,945
05-11-2019 11:12:16         31,122                 33,289
05-11-2019 11:12:31         30,997                 32,961
05-11-2019 11:12:46         30,872                 33,945
05-11-2019 11:13:01         30,747                 33,125
05-11-2019 11:13:16         30,685                 32,632
05-11-2019 11:13:31         30,622                 32,467
05-11-2019 11:13:46         30,560                 32,796
05-11-2019 11:14:01         30,497                 32,796
05-11-2019 11:14:16         30,435                 32,138
05-11-2019 11:14:31         30,373                 32,138
05-11-2019 11:14:46         30,310                 32,467
05-11-2019 11:15:01         30,248                 32,302
05-11-2019 11:15:16         30,248                 31,808
05-11-2019 11:15:31         30,185                 32,796
05-11-2019 11:15:46         30,185                 31,973
05-11-2019 11:16:01         30,123                 32,632
05-11-2019 11:16:16         30,123                 32,138
05-11-2019 11:16:31         30,060                 32,302
05-11-2019 11:16:46         30,060                 32,302
05-11-2019 11:17:01         29,998                 32,632
05-11-2019 11:17:16         29,998                 32,632
05-11-2019 11:17:31         29,998                 32,138
05-11-2019 11:17:46         29,998                 32,302
05-11-2019 11:18:01         29,936                 32,138
05-11-2019 11:18:16         29,936                 31,973
05-11-2019 11:18:31         29,936                 31,808
05-11-2019 11:18:46         29,936                 32,302
05-11-2019 11:19:01         29,936                 32,302
05-11-2019 11:19:16         29,936                 32,138
05-11-2019 11:19:31         29,873                 32,138
05-11-2019 11:19:46         29,873                 31,973
05-11-2019 11:20:01         29,873                 31,808
05-11-2019 11:20:16         29,873                 31,973
05-11-2019 11:20:31         29,811                 32,138
05-11-2019 11:20:46         29,811                 31,643
05-11-2019 11:21:01         29,811                 31,477
05-11-2019 11:21:16         29,811                 32,302
05-11-2019 11:21:31         29,811                 31,643
05-11-2019 11:21:46         29,811                 32,138
05-11-2019 11:22:01         29,811                 31,973
05-11-2019 11:22:16         29,811                 32,467
05-11-2019 11:22:31         29,811                 31,477
05-11-2019 11:22:46         29,811                 31,643
05-11-2019 11:23:01         29,811                 31,808
05-11-2019 11:23:16         29,811                 32,302
05-11-2019 11:23:31         29,811                 31,643
05-11-2019 11:23:46         29,811                 31,477
05-11-2019 11:24:01         29,811                 31,808
05-11-2019 11:24:16         29,748                 31,477
05-11-2019 11:24:31         29,748                 31,643
05-11-2019 11:24:46         29,748                 31,808
05-11-2019 11:25:01         29,748                 31,477
05-11-2019 11:25:16         29,748                 31,808
05-11-2019 11:25:31         29,748                 31,147
05-11-2019 11:25:46         29,748                 31,312
05-11-2019 11:26:01         29,686                 31,643
05-11-2019 11:26:16         29,686                 31,643
05-11-2019 11:26:31         29,686                 31,312
05-11-2019 11:26:46         29,686                 31,973
05-11-2019 11:27:01         29,623                 31,643
05-11-2019 11:27:16         29,623                 30,816
05-11-2019 11:27:31         29,623                 31,973
05-11-2019 11:27:46         29,623                 31,147
05-11-2019 11:28:01         29,623                 30,981
05-11-2019 11:28:16         29,623                 31,643
05-11-2019 11:28:31         29,623                 30,981
05-11-2019 11:28:46         29,623                 31,643
05-11-2019 11:29:01         29,623                 31,643
05-11-2019 11:29:16         29,623                 30,816
05-11-2019 11:29:31         29,623                 31,477
05-11-2019 11:29:46         29,623                 31,147
05-11-2019 11:30:01         29,623                 31,643
05-11-2019 11:30:16         29,623                 30,816
05-11-2019 11:30:31         29,623                 31,312
05-11-2019 11:30:46         29,623                 31,643
05-11-2019 11:31:01         29,623                 31,477
05-11-2019 11:31:16         29,623                 31,312
05-11-2019 11:31:31         29,623                 30,816
05-11-2019 11:31:46         29,623                 31,643
05-11-2019 11:32:01         29,623                 31,477
05-11-2019 11:32:16         29,623                 31,147
05-11-2019 11:32:31         29,623                 31,147
05-11-2019 11:32:46         29,623                 31,477
05-11-2019 11:33:01         29,623                 30,650
05-11-2019 11:33:16         29,623                 30,981
05-11-2019 11:33:31         29,623                 30,981
05-11-2019 11:33:46         29,623                 30,816
05-11-2019 11:34:01         29,623                 31,147
05-11-2019 11:34:16         29,623                 30,981
05-11-2019 11:34:31         29,623                 30,981
05-11-2019 11:34:46         29,623                 31,147
05-11-2019 11:35:01         29,623                 30,816
05-11-2019 11:35:16         29,623                 30,650
05-11-2019 11:35:31         29,623                 31,312
05-11-2019 11:35:46         29,623                 30,981
05-11-2019 11:36:01         29,623                 30,816
05-11-2019 11:36:16         29,623                 31,312
05-11-2019 11:36:31         29,623                 30,981
05-11-2019 11:36:46         29,623                 31,312
05-11-2019 11:37:01         29,623                 31,312
05-11-2019 11:37:16         29,623                 30,981
05-11-2019 11:37:31         29,623                 31,643
05-11-2019 11:37:46         29,623                 30,650
05-11-2019 11:38:01         29,623                 31,808
05-11-2019 11:38:16         29,623                 30,981
05-11-2019 11:38:31         29,623                 31,147
05-11-2019 11:38:46         29,623                 30,981
05-11-2019 11:39:01         29,623                 31,147
05-11-2019 11:39:16         29,623                 31,477
05-11-2019 11:39:31         29,623                 31,147
05-11-2019 11:39:46         29,623                 30,318
05-11-2019 11:40:01         29,623                 31,477
05-11-2019 11:40:16         29,623                 32,138
05-11-2019 11:40:31         29,623                 30,981
05-11-2019 11:40:46         29,623                 30,816
05-11-2019 11:41:01         29,623                 30,981
05-11-2019 11:41:16         29,623                 31,477
05-11-2019 11:41:31         29,623                 30,650
05-11-2019 11:41:46         29,623                 31,477
05-11-2019 11:42:01         29,623                 30,816
05-11-2019 11:42:16         29,623                 30,650
05-11-2019 11:42:31         29,623                 30,981
05-11-2019 11:42:46         29,623                 30,981
05-11-2019 11:43:01         29,623                 31,147
05-11-2019 11:43:16         29,623                 30,981
05-11-2019 11:43:31         29,623                 30,816
05-11-2019 11:43:46         29,623                 31,147
05-11-2019 11:44:01         29,623                 30,816
05-11-2019 11:44:16         29,623                 31,312
05-11-2019 11:44:31         29,623                 31,312
05-11-2019 11:44:46         29,623                 30,981
05-11-2019 11:45:01         29,623                 30,816
05-11-2019 11:45:16         29,623                 30,650
05-11-2019 11:45:31         29,623                 31,477
05-11-2019 11:45:46         29,623                 31,147
05-11-2019 11:46:01         29,623                 31,312
05-11-2019 11:46:16         29,623                 30,981
05-11-2019 11:46:31         29,623                 31,312
05-11-2019 11:46:46         29,623                 30,981
05-11-2019 11:47:01         29,623                 31,312
05-11-2019 11:47:16         29,623                 30,650
05-11-2019 11:47:31         29,623                 31,147
05-11-2019 11:47:46         29,623                 30,816
05-11-2019 11:48:01         29,623                 30,816
05-11-2019 11:48:16         29,623                 31,808
05-11-2019 11:48:31         29,623                 31,312
05-11-2019 11:48:46         29,623                 30,981
05-11-2019 11:49:01         29,623                 31,312
05-11-2019 11:49:16         29,623                 30,981
05-11-2019 11:49:31         29,623                 30,484
05-11-2019 11:49:46         29,623                 30,981
05-11-2019 11:50:01         29,623                 30,816
05-11-2019 11:50:16         29,623                 30,816
05-11-2019 11:50:31         29,623                 30,650
05-11-2019 11:50:46         29,623                 31,147
05-11-2019 11:51:01         29,623                 30,650
05-11-2019 11:51:16         29,561                 30,816
05-11-2019 11:51:31         29,561                 31,477
05-11-2019 11:51:46         29,623                 30,650
05-11-2019 11:52:01         29,623                 30,484
05-11-2019 11:52:16         29,561                 30,816
05-11-2019 11:52:31         29,561                 30,650
05-11-2019 11:52:46         29,561                 31,312
05-11-2019 11:53:01         29,561                 30,816
05-11-2019 11:53:16         29,561                 30,650
05-11-2019 11:53:31         29,561                 30,484
05-11-2019 11:53:46         29,561                 30,484
05-11-2019 11:54:01         29,561                 30,816
05-11-2019 11:54:16         29,561                 30,816
05-11-2019 11:54:31         29,561                 31,312
05-11-2019 11:54:46         29,561                 30,650
05-11-2019 11:55:01         29,498                 30,650
05-11-2019 11:55:16         29,498                 30,484
05-11-2019 11:55:31         29,498                 30,650
05-11-2019 11:55:46         29,498                 31,147
05-11-2019 11:56:01         29,498                 30,816
05-11-2019 11:56:16         29,498                 30,650
05-11-2019 11:56:31         29,498                 30,650
05-11-2019 11:56:46         29,498                 30,816
05-11-2019 11:57:01         29,436                 30,650
05-11-2019 11:57:16         29,436                 30,816
05-11-2019 11:57:31         29,436                 30,484
05-11-2019 11:57:46         29,436                 30,650
05-11-2019 11:58:01         29,436                 30,981
05-11-2019 11:58:16         29,436                 30,650
05-11-2019 11:58:31         29,436                 30,650
05-11-2019 11:58:46         29,436                 30,816
05-11-2019 11:59:01         29,436                 30,816
05-11-2019 11:59:16         29,436                 31,312
05-11-2019 11:59:31         29,436                 31,312
05-11-2019 11:59:46         29,436                 30,816
05-11-2019 12:00:01         29,436                 30,484
05-11-2019 12:00:16         29,436                 30,816
05-11-2019 12:00:31         29,436                 30,981
05-11-2019 12:00:46         29,374                 30,152
05-11-2019 12:01:01         29,374                 30,318
05-11-2019 12:01:16         29,374                 30,650
05-11-2019 12:01:31         29,374                 30,484
05-11-2019 12:01:46         29,374                 30,484
05-11-2019 12:02:01         29,374                 30,650
05-11-2019 12:02:16         29,374                 30,650
05-11-2019 12:02:31         29,374                 30,816
05-11-2019 12:02:46         29,374                 31,147
05-11-2019 12:03:01         29,374                 30,650
05-11-2019 12:03:16         29,374                 30,484
05-11-2019 12:03:31         29,374                 30,152
05-11-2019 12:03:46         29,374                 30,484
05-11-2019 12:04:01         29,311                 30,152
05-11-2019 12:04:16         29,311                 30,484
05-11-2019 12:04:31         29,374                 30,484
05-11-2019 12:04:46         29,374                 30,650
05-11-2019 12:05:01         29,311                 30,816
05-11-2019 12:05:16         29,311                 30,650
05-11-2019 12:05:31         29,311                 30,816
05-11-2019 12:05:46         29,311                 30,318
05-11-2019 12:06:01         29,311                 30,981
05-11-2019 12:06:16         29,311                 31,312
05-11-2019 12:06:31         29,311                 30,650
05-11-2019 12:06:46         29,311                 30,152
05-11-2019 12:07:01         29,311                 30,484
05-11-2019 12:07:16         29,311                 30,484
05-11-2019 12:07:31         29,311                 31,147
05-11-2019 12:07:46         29,311                 30,981
05-11-2019 12:08:01         29,311                 30,981
05-11-2019 12:08:16         29,311                 30,981
05-11-2019 12:08:31         29,311                 30,981
05-11-2019 12:08:46         29,311                 31,147
05-11-2019 12:09:01         29,311                 30,318
05-11-2019 12:09:16         29,311                 31,147
05-11-2019 12:09:31         29,311                 30,981
05-11-2019 12:09:46         29,311                 30,484
05-11-2019 12:10:01         29,311                 31,147
05-11-2019 12:10:16         29,311                 30,981
05-11-2019 12:10:31         29,311                 30,650
05-11-2019 12:10:46         29,249                 30,650
05-11-2019 12:11:01         29,249                 30,484
05-11-2019 12:11:16         29,249                 30,650
05-11-2019 12:11:31         29,249                 30,484
05-11-2019 12:11:46         29,249                 30,484
05-11-2019 12:12:01         29,249                 31,147
05-11-2019 12:12:16         29,249                 30,318
05-11-2019 12:12:31         29,249                 31,312
05-11-2019 12:12:46         29,249                 31,312
05-11-2019 12:13:01         29,249                 30,816
05-11-2019 12:13:16         29,186                 30,981
05-11-2019 12:13:31         29,186                 30,981
05-11-2019 12:13:46         29,186                 30,484
05-11-2019 12:14:01         29,186                 30,981
05-11-2019 12:14:16         29,186                 31,147
05-11-2019 12:14:31         29,186                 30,318
05-11-2019 12:14:46         29,186                 30,816
05-11-2019 12:15:01         29,186                 30,650
05-11-2019 12:15:16         29,186                 30,816
05-11-2019 12:15:31         29,186                 30,981
05-11-2019 12:15:46         29,186                 30,650
05-11-2019 12:16:01         29,186                 30,650
05-11-2019 12:16:16         29,186                 30,484
05-11-2019 12:16:31         29,186                 30,318
05-11-2019 12:16:46         29,186                 30,981
05-11-2019 12:17:01         29,186                 31,147
05-11-2019 12:17:16         29,186                 30,981
05-11-2019 12:17:31         29,186                 31,312
05-11-2019 12:17:46         29,186                 30,981
05-11-2019 12:18:01         29,186                 30,816
05-11-2019 12:18:16         29,186                 30,152
05-11-2019 12:18:31         29,124                 30,650
05-11-2019 12:18:46         29,124                 30,484
05-11-2019 12:19:01         29,124                 29,986
05-11-2019 12:19:16         29,124                 30,484
05-11-2019 12:19:31         29,124                 30,816
05-11-2019 12:19:46         29,124                 31,643
05-11-2019 12:20:01         29,124                 30,152
05-11-2019 12:20:16         29,124                 30,484
05-11-2019 12:20:31         29,124                 30,484
05-11-2019 12:20:46         29,124                 30,650
05-11-2019 12:21:01         29,061                 30,484
05-11-2019 12:21:16         29,061                 30,152
05-11-2019 12:21:31         29,061                 30,318
05-11-2019 12:21:46         29,061                 31,147
05-11-2019 12:22:01         29,061                 31,147
05-11-2019 12:22:16         29,061                 30,318
05-11-2019 12:22:31         29,061                 30,981
05-11-2019 12:22:46         29,061                 30,152
05-11-2019 12:23:01         29,061                 30,318
05-11-2019 12:23:16         29,061                 30,318
05-11-2019 12:23:31         29,061                 30,152
05-11-2019 12:23:46         29,061                 30,318
05-11-2019 12:24:01         29,061                 30,484
05-11-2019 12:24:16         29,061                 30,152
05-11-2019 12:24:31         29,061                 30,816
05-11-2019 12:24:46         29,061                 30,484
05-11-2019 12:25:01         29,061                 29,986
05-11-2019 12:25:16         29,061                 30,318
05-11-2019 12:25:31         29,061                 30,484
