_______________________________________
IBUTTON DATA DOWNLOAD
_______________________________________
Alphamach Inc.
101-2205 Bombardier, Ste-Julie, Qc J3E 2J9 CANADA
Tel: 450-466-3153
email: info@alphamach.com
www.alphamach.com


iButton Info
-----------------------------------------------------
iButton S/N:     2B0000005AC6E741
iButton Type:    DS1923
WeeButton Rev:   V12 R068


Mission Info
-----------------------------------------------------
Mission Init Date:                05-11-2019 10:53:01
Mission Start-up:                 05-11-2019 10:53:01
Download Date/Time:               05-11-2019 13:20:49
Temp. Sample Rate:                15
Hum. Sample Rate:                 15

Mission Running:                  False
Override Enable:                  False
Override Occurred:                False
Logs of present mission:           602
Log count:              36831

----------------- Data Download -------------------

Date                     Temp. (TEMP_CELSIUS)         Hum (%) 
05-11-2019 10:53:01         31,890                 26,573
05-11-2019 10:53:16         31,702                 26,233
05-11-2019 10:53:31         31,578                 26,063
05-11-2019 10:53:46         31,453                 25,892
05-11-2019 10:54:01         31,390                 26,403
05-11-2019 10:54:16         31,390                 25,892
05-11-2019 10:54:31         31,328                 26,403
05-11-2019 10:54:46         31,328                 26,403
05-11-2019 10:55:01         31,328                 26,403
05-11-2019 10:55:16         31,328                 25,722
05-11-2019 10:55:31         31,328                 26,063
05-11-2019 10:55:46         31,328                 26,063
05-11-2019 10:56:01         31,328                 26,913
05-11-2019 10:56:16         31,328                 26,063
05-11-2019 10:56:31         31,328                 25,722
05-11-2019 10:56:46         31,328                 26,233
05-11-2019 10:57:01         31,328                 26,403
05-11-2019 10:57:16         31,328                 25,722
05-11-2019 10:57:31         31,328                 26,063
05-11-2019 10:57:46         31,390                 26,403
05-11-2019 10:58:01         31,328                 25,209
05-11-2019 10:58:16         31,390                 25,892
05-11-2019 10:58:31         31,390                 25,551
05-11-2019 10:58:46         31,390                 25,892
05-11-2019 10:59:01         31,390                 26,403
05-11-2019 10:59:16         31,453                 25,722
05-11-2019 10:59:31         31,390                 26,233
05-11-2019 10:59:46         31,390                 25,892
05-11-2019 11:00:01         31,390                 26,403
05-11-2019 11:00:16         31,390                 25,722
05-11-2019 11:00:31         31,390                 26,403
05-11-2019 11:00:46         31,390                 26,063
05-11-2019 11:01:01         31,390                 25,892
05-11-2019 11:01:16         31,390                 26,403
05-11-2019 11:01:31         31,390                 26,743
05-11-2019 11:01:46         31,390                 25,551
05-11-2019 11:02:01         31,453                 25,892
05-11-2019 11:02:16         31,390                 26,233
05-11-2019 11:02:31         31,453                 25,551
05-11-2019 11:02:46         31,453                 25,209
05-11-2019 11:03:01         31,390                 25,380
05-11-2019 11:03:16         31,390                 26,403
05-11-2019 11:03:31         31,328                 26,063
05-11-2019 11:03:46         31,328                 25,380
05-11-2019 11:04:01         31,328                 25,892
05-11-2019 11:04:16         31,265                 25,038
05-11-2019 11:04:31         31,265                 25,380
05-11-2019 11:04:46         31,265                 25,892
05-11-2019 11:05:01         31,203                 26,233
05-11-2019 11:05:16         31,203                 25,722
05-11-2019 11:05:31         31,203                 25,722
05-11-2019 11:05:46         31,265                 25,380
05-11-2019 11:06:01         31,265                 26,063
05-11-2019 11:06:16         31,265                 26,063
05-11-2019 11:06:31         31,265                 26,063
05-11-2019 11:06:46         31,390                 31,633
05-11-2019 11:07:01         31,453                 31,633
05-11-2019 11:07:16         31,328                 29,451
05-11-2019 11:07:31         31,141                 29,620
05-11-2019 11:07:46         30,953                 28,945
05-11-2019 11:08:01         30,829                 29,956
05-11-2019 11:08:16         30,766                 30,292
05-11-2019 11:08:31         30,641                 30,963
05-11-2019 11:08:46         30,579                 30,963
05-11-2019 11:09:01         30,516                 32,801
05-11-2019 11:09:16         30,454                 31,967
05-11-2019 11:09:31         30,829                 36,111
05-11-2019 11:09:46         31,390                 40,031
05-11-2019 11:10:01         31,515                 35,452
05-11-2019 11:10:16         31,390                 34,461
05-11-2019 11:10:31         31,702                 35,452
05-11-2019 11:10:46         32,014                 35,452
05-11-2019 11:11:01         31,952                 29,956
05-11-2019 11:11:16         31,765                 28,100
05-11-2019 11:11:31         31,515                 27,423
05-11-2019 11:11:46         31,328                 28,608
05-11-2019 11:12:01         31,203                 27,592
05-11-2019 11:12:16         31,078                 28,945
05-11-2019 11:12:31         30,953                 28,270
05-11-2019 11:12:46         30,829                 28,777
05-11-2019 11:13:01         30,766                 28,439
05-11-2019 11:13:16         30,704                 28,100
05-11-2019 11:13:31         30,641                 28,439
05-11-2019 11:13:46         30,579                 28,100
05-11-2019 11:14:01         30,516                 28,945
05-11-2019 11:14:16         30,454                 28,777
05-11-2019 11:14:31         30,392                 28,777
05-11-2019 11:14:46         30,392                 28,439
05-11-2019 11:15:01         30,329                 28,608
05-11-2019 11:15:16         30,329                 28,100
05-11-2019 11:15:31         30,267                 28,439
05-11-2019 11:15:46         30,267                 28,777
05-11-2019 11:16:01         30,204                 28,439
05-11-2019 11:16:16         30,204                 28,945
05-11-2019 11:16:31         30,142                 28,608
05-11-2019 11:16:46         30,142                 28,777
05-11-2019 11:17:01         30,142                 28,777
05-11-2019 11:17:16         30,079                 29,283
05-11-2019 11:17:31         30,079                 28,945
05-11-2019 11:17:46         30,079                 29,283
05-11-2019 11:18:01         30,079                 28,777
05-11-2019 11:18:16         30,079                 29,114
05-11-2019 11:18:31         30,017                 29,956
05-11-2019 11:18:46         30,017                 29,451
05-11-2019 11:19:01         30,017                 28,608
05-11-2019 11:19:16         30,017                 28,777
05-11-2019 11:19:31         30,017                 28,945
05-11-2019 11:19:46         29,954                 29,788
05-11-2019 11:20:01         29,954                 28,945
05-11-2019 11:20:16         29,954                 28,608
05-11-2019 11:20:31         29,954                 29,283
05-11-2019 11:20:46         29,954                 29,114
05-11-2019 11:21:01         29,954                 29,451
05-11-2019 11:21:16         29,892                 28,777
05-11-2019 11:21:31         29,892                 29,451
05-11-2019 11:21:46         29,892                 29,451
05-11-2019 11:22:01         29,892                 28,777
05-11-2019 11:22:16         29,892                 29,451
05-11-2019 11:22:31         29,892                 29,451
05-11-2019 11:22:46         29,892                 28,945
05-11-2019 11:23:01         29,892                 29,283
05-11-2019 11:23:16         29,892                 29,788
05-11-2019 11:23:31         29,892                 28,777
05-11-2019 11:23:46         29,892                 29,114
05-11-2019 11:24:01         29,892                 29,620
05-11-2019 11:24:16         29,892                 29,283
05-11-2019 11:24:31         29,830                 29,788
05-11-2019 11:24:46         29,830                 29,620
05-11-2019 11:25:01         29,830                 29,451
05-11-2019 11:25:16         29,830                 29,283
05-11-2019 11:25:31         29,830                 29,620
05-11-2019 11:25:46         29,830                 28,608
