_______________________________________
IBUTTON DATA DOWNLOAD
_______________________________________
Alphamach Inc.
101-2205 Bombardier, Ste-Julie, Qc J3E 2J9 CANADA
Tel: 450-466-3153
email: info@alphamach.com
www.alphamach.com


iButton Info
-----------------------------------------------------
iButton S/N:     EE00000050E7E241
iButton Type:    DS1923
WeeButton Rev:   V12 R068


Mission Info
-----------------------------------------------------
Mission Init Date:                05-11-2019 10:53:01
Mission Start-up:                 05-11-2019 10:53:01
Download Date/Time:               05-11-2019 13:20:30
Temp. Sample Rate:                15
Hum. Sample Rate:                 15

Mission Running:                  False
Override Enable:                  False
Override Occurred:                False
Logs of present mission:           602
Log count:              111327

----------------- Data Download -------------------

Date                     Temp. (TEMP_CELSIUS)         Hum (%) 
05-11-2019 10:53:01         31,520                 29,729
05-11-2019 10:53:16         31,083                 29,729
05-11-2019 10:53:31         30,771                 29,729
05-11-2019 10:53:46         30,459                 29,729
05-11-2019 10:54:01         30,272                 30,241
05-11-2019 10:54:16         30,022                 29,558
05-11-2019 10:54:31         29,834                 29,729
05-11-2019 10:54:46         29,709                 30,241
05-11-2019 10:55:01         29,585                 30,070
05-11-2019 10:55:16         29,460                 30,070
05-11-2019 10:55:31         29,335                 30,411
05-11-2019 10:55:46         29,210                 30,922
05-11-2019 10:56:01         29,147                 30,922
05-11-2019 10:56:16         29,085                 30,752
05-11-2019 10:56:31         29,022                 30,411
05-11-2019 10:56:46         28,960                 30,922
05-11-2019 10:57:01         28,960                 30,922
05-11-2019 10:57:16         28,897                 31,092
05-11-2019 10:57:31         28,897                 31,262
05-11-2019 10:57:46         28,835                 31,262
05-11-2019 10:58:01         28,835                 31,262
05-11-2019 10:58:16         28,835                 31,432
05-11-2019 10:58:31         28,835                 31,771
05-11-2019 10:58:46         28,835                 31,262
05-11-2019 10:59:01         28,835                 31,941
05-11-2019 10:59:16         28,835                 31,602
05-11-2019 10:59:31         28,835                 31,602
05-11-2019 10:59:46         28,835                 31,941
05-11-2019 11:00:01         28,835                 32,280
05-11-2019 11:00:16         28,835                 31,432
05-11-2019 11:00:31         28,835                 33,799
05-11-2019 11:00:46         28,835                 31,602
05-11-2019 11:01:01         28,835                 32,787
05-11-2019 11:01:16         28,835                 32,110
05-11-2019 11:01:31         28,835                 31,941
05-11-2019 11:01:46         28,835                 31,602
05-11-2019 11:02:01         28,835                 31,771
05-11-2019 11:02:16         28,835                 31,602
05-11-2019 11:02:31         28,835                 31,771
05-11-2019 11:02:46         28,835                 31,941
05-11-2019 11:03:01         28,835                 31,432
05-11-2019 11:03:16         28,897                 31,941
05-11-2019 11:03:31         28,835                 31,771
05-11-2019 11:03:46         28,835                 31,262
05-11-2019 11:04:01         28,835                 31,771
05-11-2019 11:04:16         28,835                 31,602
05-11-2019 11:04:31         28,835                 31,262
05-11-2019 11:04:46         28,835                 30,922
05-11-2019 11:05:01         28,773                 31,092
05-11-2019 11:05:16         28,773                 31,262
05-11-2019 11:05:31         28,773                 31,092
05-11-2019 11:05:46         28,773                 31,092
05-11-2019 11:06:01         28,773                 31,092
05-11-2019 11:06:16         28,773                 30,752
05-11-2019 11:06:31         28,773                 31,262
05-11-2019 11:06:46         28,773                 31,092
05-11-2019 11:07:01         29,272                 44,837
05-11-2019 11:07:16         29,959                 42,408
05-11-2019 11:07:31         30,459                 39,296
05-11-2019 11:07:46         30,646                 38,305
05-11-2019 11:08:01         30,771                 38,139
05-11-2019 11:08:16         30,771                 37,310
05-11-2019 11:08:31         30,834                 36,978
05-11-2019 11:08:46         30,959                 33,294
05-11-2019 11:09:01         30,959                 31,432
05-11-2019 11:09:16         30,834                 32,110
05-11-2019 11:09:31         30,771                 31,262
05-11-2019 11:09:46         30,646                 30,582
05-11-2019 11:10:01         30,584                 31,602
05-11-2019 11:10:16         30,521                 30,752
05-11-2019 11:10:31         30,521                 30,582
05-11-2019 11:10:46         30,459                 30,752
05-11-2019 11:11:01         30,459                 33,631
05-11-2019 11:11:16         31,021                 36,312
05-11-2019 11:11:31         31,146                 33,967
05-11-2019 11:11:46         31,021                 33,294
05-11-2019 11:12:01         30,959                 33,967
05-11-2019 11:12:16         30,834                 33,294
05-11-2019 11:12:31         30,771                 32,787
05-11-2019 11:12:46         30,646                 33,294
05-11-2019 11:13:01         30,584                 33,294
05-11-2019 11:13:16         30,521                 32,956
05-11-2019 11:13:31         30,459                 33,125
05-11-2019 11:13:46         30,459                 33,125
05-11-2019 11:14:01         30,396                 32,787
05-11-2019 11:14:16         30,334                 32,787
05-11-2019 11:14:31         30,334                 32,618
05-11-2019 11:14:46         30,272                 33,462
05-11-2019 11:15:01         30,272                 33,462
05-11-2019 11:15:16         30,209                 32,956
05-11-2019 11:15:31         30,209                 32,618
05-11-2019 11:15:46         30,209                 32,618
05-11-2019 11:16:01         30,147                 33,125
05-11-2019 11:16:16         30,147                 32,787
05-11-2019 11:16:31         30,147                 33,294
05-11-2019 11:16:46         30,084                 33,294
05-11-2019 11:17:01         30,084                 33,294
05-11-2019 11:17:16         30,084                 32,956
05-11-2019 11:17:31         30,084                 33,294
05-11-2019 11:17:46         30,022                 32,787
05-11-2019 11:18:01         30,022                 33,294
05-11-2019 11:18:16         30,022                 32,787
05-11-2019 11:18:31         30,022                 32,787
05-11-2019 11:18:46         30,022                 32,956
05-11-2019 11:19:01         30,022                 33,294
05-11-2019 11:19:16         30,022                 32,787
05-11-2019 11:19:31         29,959                 33,294
05-11-2019 11:19:46         29,959                 32,956
05-11-2019 11:20:01         29,959                 32,956
05-11-2019 11:20:16         29,959                 32,956
05-11-2019 11:20:31         29,959                 32,787
05-11-2019 11:20:46         29,959                 32,956
05-11-2019 11:21:01         29,959                 32,787
05-11-2019 11:21:16         29,897                 32,618
05-11-2019 11:21:31         29,897                 32,787
05-11-2019 11:21:46         29,897                 32,280
05-11-2019 11:22:01         29,897                 32,956
05-11-2019 11:22:16         29,897                 32,787
05-11-2019 11:22:31         29,897                 32,449
05-11-2019 11:22:46         29,897                 33,125
05-11-2019 11:23:01         29,897                 33,294
05-11-2019 11:23:16         29,897                 33,125
05-11-2019 11:23:31         29,897                 32,449
05-11-2019 11:23:46         29,897                 31,941
05-11-2019 11:24:01         29,897                 32,618
05-11-2019 11:24:16         29,897                 33,125
05-11-2019 11:24:31         29,897                 31,771
05-11-2019 11:24:46         29,897                 32,787
05-11-2019 11:25:01         29,897                 32,618
05-11-2019 11:25:16         29,897                 32,110
05-11-2019 11:25:31         29,834                 32,618
05-11-2019 11:25:46         29,834                 33,294
05-11-2019 11:26:01         29,834                 32,956
05-11-2019 11:26:16         29,834                 32,618
05-11-2019 11:26:31         29,834                 33,294
05-11-2019 11:26:46         29,834                 32,618
05-11-2019 11:27:01         29,834                 32,110
05-11-2019 11:27:16         29,772                 32,280
05-11-2019 11:27:31         29,772                 32,110
05-11-2019 11:27:46         29,772                 32,110
05-11-2019 11:28:01         29,772                 32,449
05-11-2019 11:28:16         29,772                 32,449
05-11-2019 11:28:31         29,772                 32,787
05-11-2019 11:28:46         29,772                 32,956
05-11-2019 11:29:01         29,772                 32,956
05-11-2019 11:29:16         29,772                 32,618
05-11-2019 11:29:31         29,772                 32,787
05-11-2019 11:29:46         29,772                 32,110
05-11-2019 11:30:01         29,772                 32,956
05-11-2019 11:30:16         29,772                 32,787
05-11-2019 11:30:31         29,772                 32,449
05-11-2019 11:30:46         29,772                 32,618
05-11-2019 11:31:01         29,772                 33,294
05-11-2019 11:31:16         29,772                 32,787
05-11-2019 11:31:31         29,772                 32,449
05-11-2019 11:31:46         29,772                 32,787
05-11-2019 11:32:01         29,772                 32,956
05-11-2019 11:32:16         29,772                 32,280
05-11-2019 11:32:31         29,772                 32,787
05-11-2019 11:32:46         29,772                 32,787
05-11-2019 11:33:01         29,772                 32,110
05-11-2019 11:33:16         29,772                 32,110
05-11-2019 11:33:31         29,772                 32,787
